               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11255,            0.025473,                   0,           0.0062681,             0.06051,           0.0018825,          0.00032748,            0.088691,            0.019001,                   0,            0.003252,            0.003252,            0.070732
                   1,            0.092235,            0.018945,                   0,            0.013114,             0.24841,           0.0059844,           0.0010561,            0.078999,            0.014488,                   0,           0.0065202,           0.0065202,            0.040667
                   2,            0.092569,            0.015289,                   0,            0.049535,             0.14331,            0.015426,           0.0022584,            0.091893,            0.010748,                   0,           0.0097223,           0.0097223,            0.010535
                   3,            0.088081,            0.014392,                   0,            0.048401,            0.079618,            0.018256,           0.0033798,            0.085922,            0.010999,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.074569,            0.016145,                   0,             0.36841,             0.28662,             0.20907,            0.041493,            0.065123,            0.011867,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.064163,            0.018205,                   0,             0.20564,             0.49045,             0.14192,            0.040138,            0.067934,            0.010728,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.059771,            0.015684,                   0,             0.71988,             0.57292,             0.53433,             0.18739,            0.050904,            0.010716,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.053398,            0.015785,                   0,             0.50622,             0.54777,              0.4422,             0.17077,            0.052633,            0.010542,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053164,            0.014455,                   0,             0.68833,             0.59236,             0.51534,             0.16867,            0.052392,            0.010015,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.04806,            0.013653,                   0,             0.86939,             0.61783,             0.69632,             0.35745,            0.039458,           0.0096746,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.049777,            0.012363,                   0,             0.71144,             0.56688,             0.55076,             0.14692,            0.056174,            0.008364,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.051569,            0.012205,                   0,             0.91293,             0.63694,             0.73039,             0.25202,            0.043139,           0.0084114,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.046865,            0.011622,                   0,             0.93004,             0.67834,             0.79519,             0.41686,            0.035174,           0.0077342,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044398,            0.010096,                   0,             0.61078,             0.71019,             0.68805,             0.26492,            0.053018,            0.006893,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.044174,            0.010279,                   0,             0.84564,             0.68153,             0.77965,             0.38116,            0.036856,           0.0069024,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.041802,           0.0093426,                   0,             0.88685,             0.77377,             0.85877,             0.41335,            0.036804,           0.0066652,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.040181,           0.0097526,                   0,             0.89376,             0.77695,             0.86316,             0.47041,            0.034772,           0.0062464,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.042354,           0.0083852,                   0,             0.88772,              0.8057,             0.88358,             0.47739,            0.034476,            0.006196,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.038623,           0.0083714,                   0,              0.8678,             0.81847,             0.88771,             0.49183,            0.030963,           0.0059476,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.038808,            0.008598,                   0,             0.88185,              0.8557,              0.8997,             0.50683,            0.031969,           0.0058437,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.038831,           0.0087256,                   0,             0.87265,             0.87898,             0.90418,             0.51652,            0.031372,           0.0058348,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.041106,           0.0081583,                   0,              0.9206,             0.85032,             0.90435,              0.5075,            0.032897,           0.0057955,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.03832,           0.0081851,                   0,             0.90472,             0.84673,             0.89689,             0.44073,             0.03534,           0.0057001,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.035716,           0.0078921,                   0,             0.87907,             0.83758,              0.9035,              0.5119,            0.032538,           0.0056225,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.035747,           0.0074923,                   0,             0.92394,              0.8535,             0.91192,             0.52586,            0.031336,           0.0054666,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.033334,           0.0074734,                   0,             0.88379,             0.89809,             0.91074,             0.55181,            0.028481,           0.0053605,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.035524,           0.0072778,                   0,             0.94152,             0.87261,             0.92212,              0.4848,            0.032565,           0.0052645,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.035642,           0.0076989,                   0,             0.91169,             0.85669,             0.91485,             0.53838,            0.029859,           0.0051587,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.033967,           0.0073772,                   0,             0.93783,             0.86624,              0.9314,             0.55254,            0.029557,           0.0051993,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.034667,            0.006883,                   0,             0.92723,              0.8949,             0.92215,             0.55074,            0.028078,           0.0051975,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.031112,           0.0069468,                   0,             0.94137,             0.86933,             0.91565,             0.59458,            0.027285,           0.0049586,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.034074,           0.0072886,                   0,             0.94862,             0.88199,             0.92607,             0.59758,            0.026946,           0.0049953,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.031006,           0.0066104,                   0,             0.97208,             0.88854,             0.94016,             0.54876,            0.027531,           0.0049044,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.030711,           0.0072282,                   0,             0.96556,              0.8949,             0.94136,             0.59693,            0.026045,           0.0048187,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.031114,           0.0067846,                   0,             0.93614,             0.88854,             0.93202,             0.54101,            0.029041,           0.0048482,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.033655,             0.00656,                   0,             0.96207,              0.8885,             0.93411,             0.56758,            0.028135,           0.0049396,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.031856,             0.00667,                   0,             0.96228,              0.8949,             0.93775,             0.60365,            0.026159,           0.0047555,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.030623,           0.0068665,                   0,             0.97121,             0.86306,             0.93373,             0.61051,            0.026686,           0.0047556,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.029526,           0.0067807,                   0,             0.96895,             0.89809,             0.93857,             0.63459,            0.025289,           0.0046549,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031602,             0.00661,                   0,             0.97536,             0.88535,             0.93294,             0.53133,            0.030001,           0.0047932,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029723,           0.0069725,                   0,              0.9654,             0.88846,             0.94028,             0.62474,            0.025885,           0.0046857,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028723,           0.0064308,                   0,             0.96885,              0.8949,             0.93929,             0.62506,            0.024761,           0.0046284,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028909,           0.0064623,                   0,             0.93956,             0.89172,             0.93192,             0.59291,            0.025852,            0.004691,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030151,           0.0065308,                   0,             0.95238,             0.89171,             0.93461,             0.62128,            0.025291,           0.0045776,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.029568,            0.005941,                   0,             0.96213,             0.89172,             0.93725,             0.64628,            0.024708,           0.0045755,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.028261,           0.0063693,                   0,             0.96515,             0.88206,             0.93113,             0.62772,            0.025708,           0.0045644,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.027881,           0.0061428,                   0,             0.98239,             0.88854,             0.94045,             0.63927,            0.024488,           0.0045104,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.027847,           0.0063006,                   0,             0.97902,              0.8916,             0.93152,             0.62913,            0.024635,           0.0045407,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.025979,           0.0061234,                   0,             0.96539,             0.88854,              0.9327,             0.62898,            0.023195,           0.0044401,                   0,            0.005347,            0.005347,            0.005347
